season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,source,wmi_percentile
2019-20,2019,Regular Season,0021900099,2019-11-05,SAS,ATL,SAS @ ATL,100,108,,203,58,145,0.13793103448275862,0.19310344827586207,0.7142857142857143,data.nba.com mobile_teams v2015 play-by-play,27.45192307692308
2019-20,2019,Regular Season,0021900100,2019-11-05,LAL,CHI,LAL @ CHI,118,112,,207,59,148,0.3728813559322034,0.18243243243243243,2.043942247332078,data.nba.com mobile_teams v2015 play-by-play,98.76201923076923
2019-20,2019,Regular Season,0021900101,2019-11-05,ORL,OKC,ORL @ OKC,94,102,,189,75,114,0.22666666666666666,0.32456140350877194,0.6983783783783784,data.nba.com mobile_teams v2015 play-by-play,25.697115384615383
2019-20,2019,Regular Season,0021900102,2019-11-05,MIA,DEN,MIA @ DEN,89,109,,196,71,125,0.2112676056338028,0.288,0.733568075117371,data.nba.com mobile_teams v2015 play-by-play,29.951923076923077
2019-20,2019,Regular Season,0021900103,2019-11-06,NYK,DET,NYK @ DET,102,122,,197,56,141,0.17857142857142858,0.20567375886524822,0.8682266009852218,data.nba.com mobile_teams v2015 play-by-play,45.25240384615385
2019-20,2019,Regular Season,0021900104,2019-11-06,WAS,IND,WAS @ IND,106,121,,202,67,135,0.31343283582089554,0.24444444444444444,1.282225237449118,data.nba.com mobile_teams v2015 play-by-play,82.52403846153847
2019-20,2019,Regular Season,0021900105,2019-11-06,CHI,ATL,CHI @ ATL,113,93,,214,83,131,0.1927710843373494,0.32061068702290074,0.6012621916236375,data.nba.com mobile_teams v2015 play-by-play,15.576923076923077
2019-20,2019,Regular Season,0021900106,2019-11-06,SAC,TOR,SAC @ TOR,120,124,,203,70,133,0.17142857142857143,0.2781954887218045,0.6162162162162163,data.nba.com mobile_teams v2015 play-by-play,16.959134615384617
2019-20,2019,Regular Season,0021900107,2019-11-06,GSW,HOU,GSW @ HOU,112,129,,202,59,143,0.22033898305084745,0.20279720279720279,1.0864991233196961,data.nba.com mobile_teams v2015 play-by-play,68.17307692307692
2019-20,2019,Regular Season,0021900108,2019-11-06,MIN,MEM,MIN @ MEM,121,137,,214,68,146,0.35294117647058826,0.21232876712328766,1.6622390891840608,data.nba.com mobile_teams v2015 play-by-play,95.09615384615384
2019-20,2019,Regular Season,0021900109,2019-11-06,ORL,DAL,ORL @ DAL,106,107,,200,79,121,0.17721518987341772,0.33884297520661155,0.5230009262117938,data.nba.com mobile_teams v2015 play-by-play,9.699519230769232
2019-20,2019,Regular Season,0021900110,2019-11-06,PHI,UTA,PHI @ UTA,104,106,,196,70,126,0.2857142857142857,0.2619047619047619,1.0909090909090908,data.nba.com mobile_teams v2015 play-by-play,68.67788461538461
2019-20,2019,Regular Season,0021900111,2019-11-06,MIL,LAC,MIL @ LAC,129,124,,233,81,152,0.2839506172839506,0.26973684210526316,1.0526949713941582,data.nba.com mobile_teams v2015 play-by-play,65.38461538461539
2019-20,2019,Regular Season,0021900112,2019-11-07,BOS,CHA,BOS @ CHA,108,87,,206,59,147,0.15254237288135594,0.22448979591836735,0.6795069337442219,data.nba.com mobile_teams v2015 play-by-play,23.473557692307693
2019-20,2019,Regular Season,0021900113,2019-11-07,OKC,SAS,OKC @ SAS,112,121,,195,59,136,0.13559322033898305,0.23529411764705882,0.576271186440678,data.nba.com mobile_teams v2015 play-by-play,13.485576923076922
2019-20,2019,Regular Season,0021900114,2019-11-07,MIA,PHX,MIA @ PHX,124,108,,202,78,124,0.28205128205128205,0.27419354838709675,1.0286576168929111,data.nba.com mobile_teams v2015 play-by-play,63.125
2019-20,2019,Regular Season,0021900115,2019-11-07,POR,LAC,POR @ LAC,101,107,,208,61,147,0.2459016393442623,0.21768707482993196,1.129610655737705,data.nba.com mobile_teams v2015 play-by-play,71.95913461538461
2019-20,2019,Regular Season,0021900116,2019-11-08,DET,IND,DET @ IND,106,112,,194,61,133,0.26229508196721313,0.21804511278195488,1.2029395138496326,data.nba.com mobile_teams v2015 play-by-play,77.43990384615384
2019-20,2019,Regular Season,0021900117,2019-11-08,MEM,ORL,MEM @ ORL,86,118,,200,64,136,0.140625,0.2426470588235294,0.5795454545454546,data.nba.com mobile_teams v2015 play-by-play,13.786057692307693
2019-20,2019,Regular Season,0021900118,2019-11-08,CLE,WAS,CLE @ WAS,113,100,,194,57,137,0.19298245614035087,0.20437956204379562,0.944235588972431,data.nba.com mobile_teams v2015 play-by-play,53.89423076923077
2019-20,2019,Regular Season,0021900119,2019-11-08,SAC,ATL,SAC @ ATL,121,109,,184,61,123,0.16393442622950818,0.2682926829268293,0.6110283159463487,data.nba.com mobile_teams v2015 play-by-play,16.41826923076923
2019-20,2019,Regular Season,0021900120,2019-11-08,GSW,MIN,GSW @ MIN,119,125,,241,70,171,0.14285714285714285,0.2222222222222222,0.6428571428571429,data.nba.com mobile_teams v2015 play-by-play,19.651442307692307
