season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_rawgame,wmi_rawgame_z_score
2025-26,2026-03-23,0022500121,2025-10-27T22:00:00-04:00,3,Final,MEM,GSW,MEM @ GSW,208,73,135,0.2465753424657534,0.26666666666666666,0.9246575342465753,-0.027292955406926528
2025-26,2026-03-23,0022500122,2025-10-27T22:30:00-04:00,3,Final,POR,LAL,POR @ LAL,212,58,154,0.034482758620689655,0.18831168831168832,0.18311533888228299,-2.0938913572063784
2025-26,2026-03-23,0022500123,2025-10-28T19:00:00-04:00,3,Final,PHI,WAS,PHI @ WAS,220,74,146,0.28378378378378377,0.2534246575342466,1.1197954711468223,0.5165355024333995
2025-26,2026-03-23,0022500124,2025-10-28T19:30:00-04:00,3,Final,CHA,MIA,CHA @ MIA,214,57,157,0.22807017543859648,0.17834394904458598,1.2788220551378446,0.9597255007557772
2025-26,2026-03-23,0022500125,2025-10-28T20:00:00-04:00,3,Final,NYK,MIL,NYK @ MIL,192,63,129,0.2857142857142857,0.24806201550387597,1.1517857142857142,0.6056888719345537
2025-26,2026-03-23,0022500126,2025-10-28T20:00:00-04:00,3,Final,SAC,OKC,SAC @ OKC,203,49,154,0.24489795918367346,0.15584415584415584,1.5714285714285714,1.7751884139962764
2025-26,2026-03-23,0022500127,2025-10-28T23:00:00-04:00,3,Final,LAC,GSW,LAC @ GSW,177,38,139,0.10526315789473684,0.14388489208633093,0.731578947368421,-0.56538222606275
2025-26,2026-03-23,0022500128,2025-10-29T19:00:00-04:00,3,Final,CLE,BOS,CLE @ BOS,189,68,121,0.11764705882352941,0.2892561983471074,0.40672268907563025,-1.4707217042466219
2025-26,2026-03-23,0022500129,2025-10-29T19:00:00-04:00,3,Final,ORL,DET,ORL @ DET,199,87,112,0.25287356321839083,0.375,0.6743295019157088,-0.7249302776990533
2025-26,2026-03-23,0022500130,2025-10-29T19:30:00-04:00,3,Final,ATL,BKN,ATL @ BKN,192,72,120,0.2777777777777778,0.3,0.925925925925926,-0.023758084116002467
2025-26,2026-03-23,0022500131,2025-10-29T18:30:00-04:00,3,Final,HOU,TOR,HOU @ TOR,202,69,133,0.18840579710144928,0.2556390977443609,0.736999147485081,-0.5502767108694845
2025-26,2026-03-23,0022500132,2025-10-29T20:00:00-04:00,3,Final,SAC,CHI,SAC @ CHI,199,63,136,0.20634920634920634,0.22794117647058823,0.905273937532002,-0.08131295621319634
2025-26,2026-03-23,0022500133,2025-10-29T20:30:00-04:00,3,Final,IND,DAL,IND @ DAL,210,72,138,0.20833333333333334,0.2826086956521739,0.7371794871794872,-0.5497741235230452
2025-26,2026-03-23,0022500134,2025-10-29T21:00:00-04:00,3,Final,NOP,DEN,NOP @ DEN,195,65,130,0.23076923076923078,0.23846153846153847,0.967741935483871,0.0927786403783147
2025-26,2026-03-23,0022500135,2025-10-29T21:00:00-04:00,3,Final,POR,UTA,POR @ UTA,220,86,134,0.37209302325581395,0.30597014925373134,1.2161089052750993,0.784950692136168
